,가입일자,연령대코드,성별,가입 수
82,202011,etc,,31556
81,202011,70s,M,75
80,202011,70s,F,21
84,202011,etc,M,10
79,202011,60s,M,442
93,202012,50s,F,764
99,202012,etc,,4790
98,202012,70s,M,55
97,202012,70s,F,23
96,202012,60s,M,387
95,202012,60s,F,186
94,202012,50s,M,971
92,202012,40s,M,1696
91,202012,40s,F,1368
90,202012,30s,M,2126
89,202012,30s,F,1559
88,202012,20s,M,3441
87,202012,20s,F,2885
86,202012,10s,M,2485
85,202012,10s,F,2019
100,202012,etc,F,8
101,202012,etc,M,25
103,202101,10s,M,1205
114,202101,70s,F,23
104,202101,20s,F,2697
102,202101,10s,F,1253
105,202101,20s,M,3059
106,202101,30s,F,1374
107,202101,30s,M,1617
108,202101,40s,F,931
109,202101,40s,M,1266
110,202101,50s,F,498
115,202101,70s,M,46
116,202101,etc,F,3
117,202101,etc,M,23
112,202101,60s,F,147
111,202101,50s,M,689
113,202101,60s,M,243
15,202102,etc,M,573
14,202102,etc,F,527
13,202102,70s,M,100
11,202102,60s,M,552
9,202102,50s,M,1661
8,202102,50s,F,1546
7,202102,40s,M,3046
6,202102,40s,F,3014
5,202102,30s,M,4183
4,202102,30s,F,3697
3,202102,20s,M,8490
2,202102,20s,F,9469
1,202102,10s,M,3546
10,202102,60s,F,343
12,202102,70s,F,39
0,202102,10s,F,4010
28,202103,70s,F,40
16,202103,10s,F,4058
17,202103,10s,M,3551
18,202103,20s,F,14270
19,202103,20s,M,11128
20,202103,30s,F,5394
21,202103,30s,M,5111
22,202103,40s,F,3486
23,202103,40s,M,3456
24,202103,50s,F,1753
25,202103,50s,M,1708
26,202103,60s,F,398
27,202103,60s,M,675
31,202103,etc,M,5895
30,202103,etc,F,5078
29,202103,70s,M,83
47,202104,etc,M,36933
46,202104,etc,F,37686
44,202104,70s,F,12
43,202104,60s,M,233
42,202104,60s,F,93
41,202104,50s,M,697
40,202104,50s,F,515
39,202104,40s,M,1455
38,202104,40s,F,1516
37,202104,30s,M,2058
36,202104,30s,F,2429
35,202104,20s,M,3187
34,202104,20s,F,4986
33,202104,10s,M,860
32,202104,10s,F,1222
45,202104,70s,M,25
63,202105,etc,M,34398
62,202105,etc,F,35096
60,202105,70s,F,12
50,202105,20s,F,1491
59,202105,60s,M,189
58,202105,60s,F,84
57,202105,50s,M,510
56,202105,50s,F,338
55,202105,40s,M,1121
54,202105,40s,F,1056
53,202105,30s,M,1235
52,202105,30s,F,1146
51,202105,20s,M,1262
49,202105,10s,M,382
48,202105,10s,F,583
61,202105,70s,M,19
74,202106,60s,F,47
75,202106,60s,M,231
76,202106,70s,F,8
80,202106,etc,M,34239
78,202106,etc,,30
73,202106,50s,M,525
77,202106,70s,M,18
72,202106,50s,F,318
65,202106,10s,M,241
70,202106,40s,F,773
69,202106,30s,M,1075
68,202106,30s,F,899
67,202106,20s,M,1020
66,202106,20s,F,1076
64,202106,10s,F,253
71,202106,40s,M,1016
79,202106,etc,F,30172
