기간,지역,자전거 가해자사고,자전거 가해자사고,자전거 가해자사고,자전거 피해자사고,자전거 피해자사고,자전거 피해자사고
2019,종로구,19,1,18,22,-,23
2019,중구,23,-,25,17,-,17
2019,용산구,22,-,23,31,-,33
2019,성동구,63,-,68,70,1,73
2019,광진구,61,-,65,48,-,50
2019,동대문구,110,1,120,75,1,78
2019,중랑구,99,2,105,67,-,71
2019,성북구,37,-,39,58,1,58
2019,강북구,57,2,62,50,-,51
2019,도봉구,62,-,77,56,-,61
2019,노원구,119,-,126,91,-,94
2019,은평구,62,1,69,61,-,64
2019,서대문구,48,1,49,21,-,24
2019,마포구,52,-,58,54,-,56
2019,양천구,70,1,70,75,-,76
2019,강서구,72,-,79,89,1,94
2019,구로구,71,-,78,68,1,70
2019,금천구,40,1,48,33,-,36
2019,영등포구,189,-,219,130,1,155
2019,동작구,53,-,63,42,-,52
2019,관악구,43,1,46,31,-,33
2019,서초구,46,-,50,34,-,37
2019,강남구,60,-,70,54,-,57
2019,송파구,218,-,245,216,-,241
2019,강동구,70,-,78,106,1,110
