사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2019100100100493,2019년 10월 1일 18시,화요일,서울특별시 영등포구 대림동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,9세,경상,승합,남,34세,상해없음
2019100100100655,2019년 10월 1일 21시,화요일,서울특별시 강서구 염창동,중상사고,0,1,0,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,여,68세,중상,승용,남,66세,상해없음
2019100100100656,2019년 10월 1일 21시,화요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대사람 - 횡단중,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,42세,상해없음,보행자,남,40세,경상
2019100100100705,2019년 10월 1일 23시,화요일,서울특별시 송파구 신천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,36세,상해없음,보행자,여,55세,경상
2019100200100063,2019년 10월 2일 03시,수요일,서울특별시 송파구 가락동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,22세,부상신고,승용,남,70세,상해없음
2019100200100084,2019년 10월 2일 06시,수요일,서울특별시 양천구 신정동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,71세,부상신고,승용,남,49세,상해없음
2019100200100246,2019년 10월 2일 11시,수요일,서울특별시 관악구 봉천동,경상사고,0,0,1,0,차대차 - 측면충돌,불법유턴,포장 - 젖음/습기,비,단일로 - 기타,자전거,남,55세,경상,승용,남,61세,상해없음
2019100200100448,2019년 10월 2일 16시,수요일,서울특별시 송파구 문정동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,비,교차로 - 교차로횡단보도내,자전거,여,47세,경상,원동기,남,56세,상해없음
2019100300100171,2019년 10월 3일 06시,목요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대차 - 기타,신호위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,64세,경상,승용,남,30세,상해없음
2019100300100277,2019년 10월 3일 12시,목요일,서울특별시 노원구 상계동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,27세,경상,승용,남,64세,상해없음
2019100300100334,2019년 10월 3일 14시,목요일,서울특별시 송파구 신천동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,26세,경상,보행자,남,6세,상해없음
2019100300100366,2019년 10월 3일 15시,목요일,서울특별시 송파구 석촌동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,54세,부상신고,승용,여,54세,상해없음
2019100300100410,2019년 10월 3일 16시,목요일,서울특별시 영등포구 양평동6가,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,기타불명,미분류,기타불명,자전거,남,51세,경상
2019100300100412,2019년 10월 3일 16시,목요일,서울특별시 동작구 본동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,21세,상해없음,자전거,남,51세,중상
2019100300100442,2019년 10월 3일 17시,목요일,서울특별시 도봉구 창동,중상사고,0,1,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,26세,경상,자전거,남,66세,중상
2019100300100476,2019년 10월 3일 18시,목요일,서울특별시 강동구 암사동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,여,26세,부상신고,자전거,남,8세,상해없음
2019100300100506,2019년 10월 3일 19시,목요일,서울특별시 관악구 봉천동,경상사고,0,0,1,0,차대차 - 정면충돌,신호위반,포장 - 기타,맑음,교차로 - 교차로안,자전거,남,12세,경상,승용,남,38세,상해없음
2019100300100598,2019년 10월 3일 23시,목요일,서울특별시 서대문구 북가좌동,경상사고,0,0,1,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,23세,부상신고,자전거,남,46세,경상
2019100400100031,2019년 10월 4일 01시,금요일,서울특별시 서초구 방배동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,여,32세,경상,화물,남,23세,상해없음
2019100400100097,2019년 10월 4일 07시,금요일,서울특별시 노원구 중계동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,57세,상해없음,자전거,여,59세,경상
2019100400100128,2019년 10월 4일 08시,금요일,서울특별시 영등포구 신길동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,자전거,남,17세,상해없음,보행자,여,33세,부상신고
2019100400100325,2019년 10월 4일 13시,금요일,서울특별시 중랑구 망우동,부상신고사고,0,0,0,1,차대차 - 기타,기타,포장 - 건조,맑음,교차로 - 교차로부근,자전거,여,55세,부상신고,원동기,여,70세,상해없음
2019100400100424,2019년 10월 4일 15시,금요일,서울특별시 송파구 잠실동,부상신고사고,0,0,0,1,차대사람 - 보도통행중,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,15세,상해없음,보행자,남,60세,부상신고
2019100400100463,2019년 10월 4일 16시,금요일,서울특별시 금천구 독산동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,72세,경상,자전거,남,51세,상해없음
2019100400100466,2019년 10월 4일 16시,금요일,서울특별시 관악구 신림동,부상신고사고,0,0,0,1,차대차 - 정면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,49세,부상신고,승용,여,23세,상해없음
2019100400100504,2019년 10월 4일 17시,금요일,서울특별시 서초구 반포동,부상신고사고,0,0,0,1,차량단독 - 전도전복 - 전복,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,37세,부상신고,,,,
2019100400100506,2019년 10월 4일 17시,금요일,서울특별시 도봉구 방학동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,73세,부상신고,화물,남,42세,기타불명
2019100500100079,2019년 10월 5일 06시,토요일,서울특별시 동작구 신대방동,부상신고사고,0,0,0,1,차대차 - 측면충돌,불법유턴,포장 - 건조,맑음,단일로 - 기타,자전거,남,83세,부상신고,승용,남,70세,상해없음
2019100500100080,2019년 10월 5일 06시,토요일,서울특별시 강서구 염창동,경상사고,0,0,1,0,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,73세,경상,보행자,남,49세,상해없음
2019100500100474,2019년 10월 5일 19시,토요일,서울특별시 강서구 염창동,경상사고,0,0,2,0,차대차 - 정면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,자전거,남,44세,경상,자전거,남,13세,경상
2019100500100475,2019년 10월 5일 19시,토요일,서울특별시 동작구 동작동,부상신고사고,0,0,0,1,차대차 - 추돌,안전거리미확보,포장 - 건조,맑음,기타 - 기타,자전거,남,13세,부상신고,자전거,남,17세,상해없음
2019100600100151,2019년 10월 6일 10시,일요일,서울특별시 중랑구 면목동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,74세,부상신고,승용,남,68세,상해없음
2019100600100197,2019년 10월 6일 12시,일요일,서울특별시 은평구 불광동,경상사고,0,0,2,0,차대차 - 측면충돌,불법유턴,포장 - 건조,맑음,교차로 - 교차로부근,자전거,여,65세,경상,승용,여,58세,경상
2019100600100225,2019년 10월 6일 13시,일요일,서울특별시 금천구 시흥동,경상사고,0,0,1,0,차대차 - 측면충돌,기타,포장 - 건조,맑음,교차로 - 교차로횡단보도내,자전거,남,11세,경상,이륜,남,36세,상해없음
2019100600100290,2019년 10월 6일 15시,일요일,서울특별시 영등포구 양화동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,자전거,남,29세,중상,자전거,여,25세,상해없음
2019100600100294,2019년 10월 6일 15시,일요일,서울특별시 강동구 천호동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,54세,부상신고,자전거,남,15세,상해없음
2019100600100323,2019년 10월 6일 16시,일요일,서울특별시 송파구 잠실동,부상신고사고,0,0,0,1,차대사람 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,60세,상해없음,보행자,남,4세,부상신고
2019100600100425,2019년 10월 6일 19시,일요일,서울특별시 동작구 노량진동,중상사고,0,1,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,40세,중상,자전거,남,15세,경상
