사고번호,사고일시,요일,시군구,사고내용,사망자수,중상자수,경상자수,부상신고자수,사고유형,법규위반,노면상태,기상상태,도로형태,가해운전자 차종,가해운전자 성별,가해운전자 연령,가해운전자 상해정도,피해운전자 차종,피해운전자 성별,피해운전자 연령,피해운전자 상해정도
2020051600100394,2020년 5월 16일 18시,토요일,서울특별시 마포구 노고산동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,24세,부상신고
2020051600100457,2020년 5월 16일 20시,토요일,서울특별시 영등포구 당산동,경상사고,0,0,2,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,39세,경상,자전거,여,27세,경상
2020051700100080,2020년 5월 17일 08시,일요일,서울특별시 동작구 본동,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로부근,승용,남,56세,상해없음,자전거,남,43세,경상
2020051700100096,2020년 5월 17일 09시,일요일,서울특별시 영등포구 양평동2가,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,50세,상해없음,자전거,남,60세,부상신고
2020051700100125,2020년 5월 17일 11시,일요일,서울특별시 송파구 풍납동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,40세,중상,자전거,남,61세,중상
2020051700100239,2020년 5월 17일 15시,일요일,서울특별시 동작구 흑석동,중상사고,0,2,0,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,57세,중상,자전거,여,28세,중상
2020051700100240,2020년 5월 17일 15시,일요일,서울특별시 송파구 잠실동,중상사고,0,1,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,여,44세,부상신고,자전거,여,72세,중상
2020051700100241,2020년 5월 17일 15시,일요일,서울특별시 노원구 하계동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,여,57세,중상
2020051700100271,2020년 5월 17일 16시,일요일,서울특별시 영등포구 여의도동,중상사고,0,1,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,기타 - 기타,자전거,남,41세,중상,자전거,남,46세,부상신고
2020051700100301,2020년 5월 17일 17시,일요일,서울특별시 강동구 천호동,중상사고,0,1,1,0,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,54세,중상,자전거,여,39세,경상
2020051700100302,2020년 5월 17일 17시,일요일,서울특별시 송파구 잠실동,중상사고,0,1,0,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,25세,상해없음,자전거,남,45세,중상
2020051700100340,2020년 5월 17일 18시,일요일,서울특별시 마포구 마포동,부상신고사고,0,0,0,2,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 교량,자전거,남,38세,부상신고,자전거,남,10세,부상신고
2020051700100341,2020년 5월 17일 18시,일요일,서울특별시 성동구 성수동1가,경상사고,0,0,1,0,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,자전거,남,63세,기타불명,자전거,여,63세,경상
2020051700100363,2020년 5월 17일 19시,일요일,서울특별시 강북구 미아동,경상사고,0,0,1,0,차대차 - 측면충돌,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,이륜,남,40세,상해없음,자전거,남,26세,경상
2020051700100364,2020년 5월 17일 19시,일요일,서울특별시 광진구 중곡동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,42세,중상
2020051700100385,2020년 5월 17일 20시,일요일,서울특별시 광진구 자양동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,개인형이동수단(PM),여,19세,경상,자전거,남,68세,상해없음
2020051800100094,2020년 5월 18일 09시,월요일,서울특별시 마포구 노고산동,경상사고,0,0,1,0,차대차 - 후진중충돌,불법유턴,포장 - 건조,맑음,교차로 - 교차로안,승용,남,44세,상해없음,자전거,남,48세,경상
2020051800100096,2020년 5월 18일 09시,월요일,서울특별시 성동구 송정동,중상사고,0,1,0,0,차대차 - 기타,기타,포장 - 건조,맑음,단일로 - 기타,승용,남,66세,상해없음,자전거,남,31세,중상
2020051800100100,2020년 5월 18일 09시,월요일,서울특별시 노원구 공릉동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 젖음/습기,흐림,교차로 - 교차로안,화물,남,70세,상해없음,자전거,여,50세,경상
2020051800100129,2020년 5월 18일 10시,월요일,서울특별시 양천구 신월동,부상신고사고,0,0,0,1,차대차 - 측면충돌,안전운전불이행,포장 - 건조,맑음,교차로 - 교차로안,화물,남,64세,상해없음,자전거,남,52세,부상신고
2020051800100318,2020년 5월 18일 15시,월요일,서울특별시 송파구 잠실동,중상사고,0,1,1,1,차대차 - 측면충돌,안전운전불이행,포장 - 젖음/습기,흐림,단일로 - 기타,자전거,남,13세,부상신고,자전거,여,62세,중상
2020051900100254,2020년 5월 19일 14시,화요일,서울특별시 송파구 잠실동,중상사고,0,1,0,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,47세,상해없음,자전거,여,54세,중상
2020051900100321,2020년 5월 19일 16시,화요일,서울특별시 영등포구 대림동,중상사고,0,1,0,0,차대차 - 후진중충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,47세,상해없음,자전거,남,66세,중상
2020051900100323,2020년 5월 19일 16시,화요일,서울특별시 송파구 잠실동,경상사고,0,0,1,0,차대차 - 정면충돌,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,여,42세,상해없음,자전거,남,15세,경상
2020051900100531,2020년 5월 19일 22시,화요일,서울특별시 중랑구 신내동,경상사고,0,0,1,0,차대차 - 측면충돌,중앙선침범,포장 - 건조,맑음,단일로 - 기타,승용,남,51세,상해없음,자전거,남,60세,경상
2020052000100046,2020년 5월 20일 04시,수요일,서울특별시 서대문구 북가좌동,경상사고,0,0,1,0,차대차 - 측면충돌,교차로운행방법위반,포장 - 건조,맑음,교차로 - 교차로안,승용,남,65세,상해없음,자전거,여,58세,경상
2020052000100132,2020년 5월 20일 09시,수요일,서울특별시 송파구 거여동,경상사고,0,0,1,0,차대차 - 기타,직진우회전진행방해,포장 - 건조,맑음,교차로 - 교차로안,승용,남,75세,기타불명,자전거,남,30세,경상
2020052000100300,2020년 5월 20일 13시,수요일,서울특별시 중랑구 면목동,부상신고사고,0,0,0,1,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,기타불명,기타불명,미분류,기타불명,자전거,남,51세,부상신고
2020052000100334,2020년 5월 20일 14시,수요일,서울특별시 강동구 천호동,부상신고사고,0,0,0,1,차대차 - 추돌,안전운전불이행,포장 - 건조,맑음,기타 - 기타,승용,남,35세,상해없음,자전거,남,57세,부상신고
2020052000100336,2020년 5월 20일 14시,수요일,서울특별시 노원구 하계동,경상사고,0,0,1,0,차대차 - 기타,안전운전불이행,포장 - 건조,맑음,단일로 - 기타,승용,남,43세,상해없음,자전거,남,46세,경상
2020052000100370,2020년 5월 20일 15시,수요일,서울특별시 중랑구 면목동,경상사고,0,0,2,0,차대차 - 기타,신호위반,포장 - 건조,맑음,단일로 - 기타,이륜,남,35세,상해없음,자전거,여,80세,경상
