'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'201801','회원-내국인','F','~10대',102
'201801','회원-내국인','M','~10대',109
'201801','회원-내국인','F','20대',965
'201801','회원-내국인','M','20대',1163
'201801','회원-내국인','F','30대',387
'201801','회원-내국인','M','30대',651
'201801','회원-내국인','F','40대',225
'201801','회원-내국인','M','40대',489
'201801','회원-내국인','F','50대',119
'201801','회원-내국인','M','50대',222
'201801','회원-내국인','F','60대',23
'201801','회원-내국인','M','60대',78
'201801','회원-내국인','F','70대~',8
'201801','회원-내국인','M','70대~',11
'201802','회원-내국인','F','~10대',194
'201802','회원-내국인','M','~10대',154
'201802','회원-내국인','F','20대',1655
'201802','회원-내국인','M','20대',1556
'201802','회원-내국인','F','30대',580
'201802','회원-내국인','M','30대',854
'201802','회원-내국인','F','40대',312
'201802','회원-내국인','M','40대',581
'201802','회원-내국인','F','50대',165
'201802','회원-내국인','M','50대',267
'201802','회원-내국인','F','60대',40
'201802','회원-내국인','M','60대',74
'201802','회원-내국인','F','70대~',15
'201802','회원-내국인','M','70대~',15
'201803','회원-내국인','F','~10대',589
'201803','회원-내국인','M','~10대',447
'201803','회원-내국인','F','20대',8720
'201803','회원-내국인','M','20대',6881
'201803','회원-내국인','F','30대',2825
'201803','회원-내국인','M','30대',3447
'201803','회원-내국인','F','40대',1383
'201803','회원-내국인','M','40대',2269
'201803','회원-내국인','F','50대',618
'201803','회원-내국인','M','50대',1067
'201803','회원-내국인','F','60대',137
'201803','회원-내국인','M','60대',266
'201803','회원-내국인','F','70대~',47
'201803','회원-내국인','M','70대~',54
'201804','회원-내국인','F','~10대',905
'201804','회원-내국인','M','~10대',728
'201804','회원-내국인','F','20대',14916
'201804','회원-내국인','M','20대',11378
'201804','회원-내국인','F','30대',5276
'201804','회원-내국인','M','30대',6134
'201804','회원-내국인','F','40대',2254
'201804','회원-내국인','M','40대',3340
'201804','회원-내국인','F','50대',1096
'201804','회원-내국인','M','50대',1356
'201804','회원-내국인','F','60대',182
'201804','회원-내국인','M','60대',335
'201804','회원-내국인','F','70대~',72
'201804','회원-내국인','M','70대~',74
'201805','회원-내국인','F','~10대',1576
'201805','회원-내국인','M','~10대',1065
'201805','회원-내국인','F','20대',18746
'201805','회원-내국인','M','20대',14923
'201805','회원-내국인','F','30대',6889
'201805','회원-내국인','M','30대',8212
'201805','회원-내국인','F','40대',3147
'201805','회원-내국인','M','40대',4251
'201805','회원-내국인','F','50대',1335
'201805','회원-내국인','M','50대',1610
'201805','회원-내국인','F','60대',238
'201805','회원-내국인','M','60대',377
'201805','회원-내국인','','70대~',3
'201805','회원-내국인','F','70대~',90
'201805','회원-내국인','M','70대~',95
'201806','회원-내국인','F','~10대',1088
'201806','회원-내국인','M','~10대',852
'201806','회원-내국인','F','20대',13434
'201806','회원-내국인','M','20대',11074
'201806','회원-내국인','F','30대',5025
'201806','회원-내국인','M','30대',6479
'201806','회원-내국인','F','40대',2182
'201806','회원-내국인','M','40대',3226
'201806','회원-내국인','F','50대',998
'201806','회원-내국인','M','50대',1180
'201806','회원-내국인','F','60대',187
'201806','회원-내국인','M','60대',278
'201806','회원-내국인','','70대~',28601
'201806','회원-내국인','F','70대~',90
'201806','회원-내국인','M','70대~',79
