'대여일자','사용자코드','성별','연령대코드','신규가입자수'
'201706','회원-내국인','M','40대',4027
'201706','회원-내국인','F','50대',984
'201706','회원-내국인','M','50대',1404
'201706','회원-내국인','F','60대',182
'201706','회원-내국인','M','60대',331
'201706','회원-내국인','F','70대~',95
'201706','회원-내국인','M','70대~',90
'201706','회원-외국인관광객','F','~10대',32
'201706','회원-외국인관광객','M','~10대',17
'201706','회원-외국인관광객','F','20대',247
'201706','회원-외국인관광객','M','20대',163
'201706','회원-외국인관광객','F','30대',103
'201706','회원-외국인관광객','M','30대',104
'201706','회원-외국인관광객','F','40대',42
'201706','회원-외국인관광객','M','40대',42
'201706','회원-외국인관광객','F','50대',11
'201706','회원-외국인관광객','M','50대',18
'201706','회원-외국인관광객','M','60대',3
'201707','회원-내국인','F','~10대',709
'201707','회원-내국인','M','~10대',620
'201707','회원-내국인','F','20대',7236
'201707','회원-내국인','M','20대',6484
'201707','회원-내국인','F','30대',2385
'201707','회원-내국인','M','30대',3678
'201707','회원-내국인','F','40대',1202
'201707','회원-내국인','M','40대',2261
'201707','회원-내국인','F','50대',582
'201707','회원-내국인','M','50대',1032
'201707','회원-내국인','F','60대',90
'201707','회원-내국인','M','60대',256
'201707','회원-내국인','F','70대~',52
'201707','회원-내국인','M','70대~',57
'201707','회원-외국인관광객','F','~10대',1
'201707','회원-외국인관광객','F','20대',23
'201707','회원-외국인관광객','M','20대',18
'201707','회원-외국인관광객','F','30대',10
'201707','회원-외국인관광객','M','30대',13
'201707','회원-외국인관광객','F','40대',2
'201707','회원-외국인관광객','M','40대',7
'201707','회원-외국인관광객','F','50대',2
'201707','회원-외국인관광객','F','60대',1
'201708','회원-내국인','F','~10대',1023
'201708','회원-내국인','M','~10대',843
'201708','회원-내국인','F','20대',11049
'201708','회원-내국인','M','20대',9240
'201708','회원-내국인','F','30대',3487
'201708','회원-내국인','M','30대',4874
'201708','회원-내국인','F','40대',1671
'201708','회원-내국인','M','40대',2811
'201708','회원-내국인','F','50대',728
'201708','회원-내국인','M','50대',1153
'201708','회원-내국인','F','60대',158
'201708','회원-내국인','M','60대',267
'201708','회원-내국인','F','70대~',73
'201708','회원-내국인','M','70대~',64
'201709','회원-내국인','F','~10대',1779
'201709','회원-내국인','M','~10대',1343
'201709','회원-내국인','F','20대',22460
'201709','회원-내국인','M','20대',17633
'201709','회원-내국인','F','30대',6990
'201709','회원-내국인','M','30대',9082
'201709','회원-내국인','F','40대',3035
'201709','회원-내국인','M','40대',4638
'201709','회원-내국인','F','50대',1289
'201709','회원-내국인','M','50대',1696
'201709','회원-내국인','F','60대',243
'201709','회원-내국인','M','60대',389
'201709','회원-내국인','F','70대~',126
'201709','회원-내국인','M','70대~',101
'201710','회원-내국인','F','~10대',1793
'201710','회원-내국인','M','~10대',1337
'201710','회원-내국인','F','20대',17544
'201710','회원-내국인','M','20대',14556
'201710','회원-내국인','F','30대',6910
'201710','회원-내국인','M','30대',8590
'201710','회원-내국인','F','40대',3679
'201710','회원-내국인','M','40대',5342
'201710','회원-내국인','F','50대',1566
'201710','회원-내국인','M','50대',1888
'201710','회원-내국인','F','60대',273
'201710','회원-내국인','M','60대',437
'201710','회원-내국인','F','70대~',135
'201710','회원-내국인','M','70대~',132
'201711','회원-내국인','F','~10대',452
'201711','회원-내국인','M','~10대',476
